CovidDate,StateCode
2/4/2020,CT
2/4/2020,DE
2/4/2020,DC
2/4/2020,FL
2/4/2020,GA
2/4/2020,HI
2/4/2020,ID
2/4/2020,IL
2/4/2020,IN
2/4/2020,IA
2/4/2020,KS
2/4/2020,KY
2/4/2020,LA
2/4/2020,ME
2/4/2020,MD
2/4/2020,MA
2/4/2020,MI
2/4/2020,MN
2/4/2020,MS
2/4/2020,MO
2/4/2020,MT
2/4/2020,NE
2/4/2020,NV
2/4/2020,NH
2/4/2020,NJ
2/4/2020,NM
2/4/2020,NY
2/4/2020,NC
2/4/2020,ND
2/4/2020,OH
2/4/2020,OK
2/4/2020,OR
2/4/2020,PA
2/4/2020,RI
2/4/2020,SC
2/4/2020,SD
2/4/2020,TN
2/4/2020,TX
2/4/2020,UT
2/4/2020,VT
2/4/2020,VA
2/4/2020,WA
2/4/2020,WV
2/4/2020,WI
2/4/2020,WY
2/5/2020,AL
2/5/2020,AK
2/5/2020,AZ
2/5/2020,AR
2/5/2020,CA
2/5/2020,CO
2/5/2020,CT
2/5/2020,DE
2/5/2020,DC
2/5/2020,FL
2/5/2020,GA
2/5/2020,HI
2/5/2020,ID
2/5/2020,IL
2/5/2020,IN
2/5/2020,IA
2/5/2020,KS
2/5/2020,KY
2/5/2020,LA
2/5/2020,ME
2/5/2020,MD
2/5/2020,MA
2/5/2020,MI
2/5/2020,MN
2/5/2020,MS
2/5/2020,MO
2/5/2020,MT
2/5/2020,NE
2/5/2020,NV
2/5/2020,NH
2/5/2020,NJ
2/5/2020,NM
2/5/2020,NY
2/5/2020,NC
2/5/2020,ND
2/5/2020,OH
2/5/2020,OK
2/5/2020,OR
2/5/2020,PA
2/5/2020,RI
2/5/2020,SC
2/5/2020,SD
2/5/2020,TN
2/5/2020,TX
2/5/2020,UT
2/5/2020,VT
2/5/2020,VA
2/5/2020,WA
2/5/2020,WV
2/5/2020,WI
2/5/2020,WY
2/6/2020,AL
2/6/2020,AK
2/6/2020,AZ
2/6/2020,AR
2/6/2020,CA
2/6/2020,CO
2/6/2020,CT
2/6/2020,DE
2/6/2020,DC
2/6/2020,FL
2/6/2020,GA
2/6/2020,HI
2/6/2020,ID
2/6/2020,IL
2/6/2020,IN
2/6/2020,IA
2/6/2020,KS
2/6/2020,KY
2/6/2020,LA
2/6/2020,ME
2/6/2020,MD
2/6/2020,MA
2/6/2020,MI
2/6/2020,MN
2/6/2020,MS
2/6/2020,MO
2/6/2020,MT
2/6/2020,NE
2/6/2020,NV
2/6/2020,NH
2/6/2020,NJ
2/6/2020,NM
2/6/2020,NY
2/6/2020,NC
2/6/2020,ND
2/6/2020,OH
2/6/2020,OK
2/6/2020,OR
2/6/2020,PA
2/6/2020,RI
2/6/2020,SC
2/6/2020,SD
2/6/2020,TN
2/6/2020,TX
2/6/2020,UT
2/6/2020,VT
2/6/2020,VA
2/6/2020,WA
2/6/2020,WV
2/6/2020,WI
2/6/2020,WY
2/7/2020,AL
2/7/2020,AK
2/7/2020,AZ
2/7/2020,AR
2/7/2020,CA
2/7/2020,CO
2/7/2020,CT
2/7/2020,DE
2/7/2020,DC
2/7/2020,FL
2/7/2020,GA
2/7/2020,HI
2/7/2020,ID
2/7/2020,IL
2/7/2020,IN
2/7/2020,IA
2/7/2020,KS
2/7/2020,KY
2/7/2020,LA
2/7/2020,ME
2/7/2020,MD
2/7/2020,MA
2/7/2020,MI
2/7/2020,MN
2/7/2020,MS
2/7/2020,MO
2/7/2020,MT
2/7/2020,NE
2/7/2020,NV
2/7/2020,NH
2/7/2020,NJ
2/7/2020,NM
2/7/2020,NY
2/7/2020,NC
2/7/2020,ND
2/7/2020,OH
2/7/2020,OK
2/7/2020,OR
2/7/2020,PA
2/7/2020,RI
2/7/2020,SC
2/7/2020,SD
2/7/2020,TN
2/7/2020,TX
2/7/2020,UT
2/7/2020,VT
2/7/2020,VA
2/7/2020,WA
2/7/2020,WV
2/7/2020,WI
2/7/2020,WY
2/8/2020,AL
2/8/2020,AK
2/8/2020,AZ
2/8/2020,AR
2/8/2020,CA
2/8/2020,CO
2/8/2020,CT
2/8/2020,DE
2/8/2020,DC
2/8/2020,FL
2/8/2020,GA
2/8/2020,HI
2/8/2020,ID
2/8/2020,IL
2/8/2020,IN
2/8/2020,IA
2/8/2020,KS
2/8/2020,KY
2/8/2020,LA
2/8/2020,ME
2/8/2020,MD
2/8/2020,MA
2/8/2020,MI
2/8/2020,MN
2/8/2020,MS
2/8/2020,MO
2/8/2020,MT
2/8/2020,NE
2/8/2020,NV
2/8/2020,NH
2/8/2020,NJ
2/8/2020,NM
2/8/2020,NY
2/8/2020,NC
2/8/2020,ND
2/8/2020,OH
2/8/2020,OK
2/8/2020,OR
2/8/2020,PA
2/8/2020,RI
2/8/2020,SC
2/8/2020,SD
2/8/2020,TN
2/8/2020,TX
2/8/2020,UT
2/8/2020,VT
2/8/2020,VA
2/8/2020,WA
2/8/2020,WV
2/8/2020,WI
2/8/2020,WY
2/9/2020,AL
2/9/2020,AK
2/9/2020,AZ
2/9/2020,AR
2/9/2020,CA
2/9/2020,CO
2/9/2020,CT
2/9/2020,DE
2/9/2020,DC
2/9/2020,FL
2/9/2020,GA
2/9/2020,HI
2/9/2020,ID
2/9/2020,IL
2/9/2020,IN
2/9/2020,IA
2/9/2020,KS
2/9/2020,KY
2/9/2020,LA
2/9/2020,ME
2/9/2020,MD
2/9/2020,MA
2/9/2020,MI
2/9/2020,MN
2/9/2020,MS
2/9/2020,MO
2/9/2020,MT
2/9/2020,NE
2/9/2020,NV
2/9/2020,NH
2/9/2020,NJ
2/9/2020,NM
2/9/2020,NY
2/9/2020,NC
2/9/2020,ND
2/9/2020,OH
2/9/2020,OK
2/9/2020,OR
2/9/2020,PA
2/9/2020,RI
2/9/2020,SC
2/9/2020,SD
2/9/2020,TN
2/9/2020,TX
2/9/2020,UT
2/9/2020,VT
2/9/2020,VA
2/9/2020,WA
2/9/2020,WV
2/9/2020,WI
2/9/2020,WY
2/10/2020,AL
2/10/2020,AK
2/10/2020,AZ
2/10/2020,AR
2/10/2020,CA
2/10/2020,CO
2/10/2020,CT
2/10/2020,DE
2/10/2020,DC
2/10/2020,FL
2/10/2020,GA
2/10/2020,HI
2/10/2020,ID
2/10/2020,IL
2/10/2020,IN
2/10/2020,IA
2/10/2020,KS
2/10/2020,KY
2/10/2020,LA
2/10/2020,ME
2/10/2020,MD
2/10/2020,MA
2/10/2020,MI
2/10/2020,MN
2/10/2020,MS
2/10/2020,MO
2/10/2020,MT
2/10/2020,NE
2/10/2020,NV
2/10/2020,NH
2/10/2020,NJ
2/10/2020,NM
2/10/2020,NY
2/10/2020,NC
2/10/2020,ND
2/10/2020,OH
2/10/2020,OK
2/10/2020,OR
2/10/2020,PA
2/10/2020,RI
2/10/2020,SC
2/10/2020,SD
2/10/2020,TN
2/10/2020,TX
2/10/2020,UT
2/10/2020,VT
2/10/2020,VA
2/10/2020,WA
2/10/2020,WV
2/10/2020,WI
2/10/2020,WY
2/11/2020,AL
2/11/2020,AK
2/11/2020,AZ
2/11/2020,AR
2/11/2020,CA
2/11/2020,CO
2/11/2020,CT
2/11/2020,DE
2/11/2020,DC
2/11/2020,FL
2/11/2020,GA
2/11/2020,HI
2/11/2020,ID
2/11/2020,IL
2/11/2020,IN
2/11/2020,IA
2/11/2020,KS
2/11/2020,KY
2/11/2020,LA
2/11/2020,ME
2/11/2020,MD
2/11/2020,MA
2/11/2020,MI
2/11/2020,MN
2/11/2020,MS
2/11/2020,MO
2/11/2020,MT
2/11/2020,NE
2/11/2020,NV
2/11/2020,NH
2/11/2020,NJ
2/11/2020,NM
2/11/2020,NY
2/11/2020,NC
2/11/2020,ND
2/11/2020,OH
2/11/2020,OK
2/11/2020,OR
2/11/2020,PA
2/11/2020,RI
2/11/2020,SC
2/11/2020,SD
2/11/2020,TN
2/11/2020,TX
2/11/2020,UT
2/11/2020,VT
2/11/2020,VA
2/11/2020,WA
2/11/2020,WV
2/11/2020,WI
2/11/2020,WY
2/12/2020,AL
2/12/2020,AK
2/12/2020,AZ
2/12/2020,AR
2/12/2020,CA
2/12/2020,CO
2/12/2020,CT
2/12/2020,DE
2/12/2020,DC
2/12/2020,FL
2/12/2020,GA
2/12/2020,HI
2/12/2020,ID
2/12/2020,IL
2/12/2020,IN
2/12/2020,IA
2/12/2020,KS
2/12/2020,KY
2/12/2020,LA
2/12/2020,ME
2/12/2020,MD
2/12/2020,MA
2/12/2020,MI
2/12/2020,MN
2/12/2020,MS
2/12/2020,MO
2/12/2020,MT
2/12/2020,NE
2/12/2020,NV
